study_id,paper_id,citation_short,year,on_website,study_focus_short,row_checked,fields_with_errors,corrections,reviewer_note,reviewer,date_checked,status
ad572f499ac2a7d6a_s1,ad572f499ac2a7d6a,Khalvati et al. (2019),2019,YES,Cooperation learning / group decision-making,,,,,,,pending
ad608a8ef93ad42b6_s1,ad608a8ef93ad42b6,Gueguen et al. (2025),2025,YES,Prosocial reinforcement learning,,,,,,,pending
ad6a9b35452058a43_s1,ad6a9b35452058a43,Son et al. (2023),2023,YES,Social network learning · social link prediction via multistep relational abstraction,,,,,,,pending
ad7b44d47520e9e12_s1,ad7b44d47520e9e12,Bang et al. (2022),2022,YES,Confidence learning,,,,,,,pending
ad82ebc97cc3bb9e3_s1,ad82ebc97cc3bb9e3,Yang et al. (2013),2013,YES,Imitation learning / observational learning,,,,,,,pending
ad853afe5ab730771_s1,ad853afe5ab730771,Mahmoodi et al. (2024),2024,YES,Latent social cause inference,,,,,,,pending
ad869b3b0665cb6ac_s1,ad869b3b0665cb6ac,Kim et al. (2025),2025,YES,Prosocial learning under social observation,,,,,,,pending
ad89fe63f862d25cb_s1,ad89fe63f862d25cb,Zhang (2018),2018,YES,Social influence learning,,,,,,,pending
ad89fe63f862d25cb_s2,ad89fe63f862d25cb,Zhang (2018),2018,YES,Expectation-biased social influence learning,,,,,,,pending
ad8c91c1b0277d469_s1,ad8c91c1b0277d469,Diaconescu et al. (2014),2014,YES,Learning from advice / inferring on volatile intentions of others,,,,,,,pending
ad9c35b8c64437b99_s1,ad9c35b8c64437b99,Pan et al. (2023),2023,YES,Observational threat learning,,,,,,,pending
adace563f08274e40_s1,adace563f08274e40,Gueguen et al. (2025),2025,YES,Prosocial reinforcement learning,,,,,,,pending
adaf4feb200605004_s1,adaf4feb200605004,Eisenegger et al. (2013),2013,YES,Prosocial learning / learning about others' prosociality,,,,,,,pending
add08712d32ca9aeb_s1,add08712d32ca9aeb,Jin et al. (2023),2023,YES,Cooperation learning,,,,,,,pending
ade766e02a2dd4206_s1,ade766e02a2dd4206,Shafto et al. (2014),2014,YES,Pedagogical reasoning / concept learning in social teaching contexts -- how a,,,,,,,pending
ade9c058c35e6948e_s1,ade9c058c35e6948e,Moutoussis et al. (2024),2024,YES,Mentalizing learning / harm attribution learning,,,,,,,pending
ae00c17dc7e148cca_s1,ae00c17dc7e148cca,Marienhagen et al. (2025),2025,YES,Collective foraging,,,,,,,pending
ae1201f6829a1fb8d_s1,ae1201f6829a1fb8d,Will et al. (2020),2020,YES,Social approval learning / self-esteem updating,,,,,,,pending
ae193b47767bcea7b_s1,ae193b47767bcea7b,Allen et al. (2023),2023,YES,Reciprocal cooperation learning,,,,,,,pending
ae1b28d9682e98d8a_s1,ae1b28d9682e98d8a,Hawkins et al. (2023),2023,YES,Social learning via social inference,,,,,,,pending
ae1b2a9ecf9194340_s1,ae1b2a9ecf9194340,Seaman et al. (2023),2023,YES,Trust learning,,,,,,,pending
ae1d06b9cc1a41631_s1,ae1d06b9cc1a41631,Flournoy (2018),2018,YES,Social motive effects on reinforcement learning,,,,,,,pending
ae1da3ab45c809053_s1,ae1da3ab45c809053,Martinez-Saito et al. (2019),2019,YES,Social competition learning / bidding behaviour learning under market,,,,,,,pending
ae20b03d9449119c0_s1,ae20b03d9449119c0,Allen et al. (2024),2024,YES,Cooperation learning,,,,,,,pending
ae331daacca1dedbe_s1,ae331daacca1dedbe,Farmer et al. (2019),2019,YES,Shared preference learning,,,,,,,pending
ae3764f1ded3fe415_s1,ae3764f1ded3fe415,Wang et al. (2023),2023,YES,Fear-biased adaptation learning,,,,,,,pending
ae41a6609b6740e29_s1,ae41a6609b6740e29,Devaine et al. (2014),2014,YES,Mentalizing learning · recursive belief updating in competitive social interactions,,,,,,,pending
ae55e9533511109cd_s1,ae55e9533511109cd,Anlló et al. (2024),2024,YES,Learning from advice / information sharing during reinforcement learning,,,,,,,pending
ae55e9533511109cd_s2,ae55e9533511109cd,Anlló et al. (2024),2024,YES,"How monetary, reputational, and responsibility consequences of advising",,,,,,,pending
ae615969313c207aa_s1,ae615969313c207aa,Jin et al. (2023),2023,YES,Trust learning,,,,,,,pending
ae6935dd1f3314d0b_s1,ae6935dd1f3314d0b,Gesiarz (2020),2020,YES,Self-verifying information-seeking,,,,,,,pending
ae6fbb37f4487ff87_s1,ae6fbb37f4487ff87,Hackel et al. (2022),2022,YES,Context-dependent trait inference learning,,,,,,,pending
ae7c3b95a8b8f7d2a_s1,ae7c3b95a8b8f7d2a,Siegel et al. (2019),2019,YES,Moral impression learning / harm learning / trust learning -- How exposure to,,,,,,,pending
ae82dd63e6420f342_s1,ae82dd63e6420f342,Fornari et al. (2023),2023,YES,Moral conflict learning,,,,,,,pending
ae90896dda8a10f7a_s1,ae90896dda8a10f7a,Avdic et al. (2023),2023,YES,Social reinforcement learning,,,,,,,pending
ae9c01d676c5bd081_s1,ae9c01d676c5bd081,Frey & McCabe (2020),2020,YES,Social learning from emotional faces in depression,,,,,,,pending
aeaf67e5f3994f403_s1,aeaf67e5f3994f403,Reiter et al. (2021),2021,YES,Learning from advice · social inference about others' changing intentions,,,,,,,pending
aeb52cfb7ce319e37_s1,aeb52cfb7ce319e37,Gu et al. (2015),2015,YES,Norm learning / norm adaptation,,,,,,,pending
aec5330e361394fc7_s1,aec5330e361394fc7,Biele et al. (2011),2011,YES,Learning from advice,,,,,,,pending
aec707b4aaa70bb2e_s1,aec707b4aaa70bb2e,Bellebaum et al. (2012),2012,YES,Observational learning; active vs. observational reward prediction error coding,,,,,,,pending
aec7a0ba248d26cad_s1,aec7a0ba248d26cad,Frey (2019),2019,YES,Social reinforcement learning,,,,,,,pending
aec7a0ba248d26cad_s2,aec7a0ba248d26cad,Frey (2019),2019,YES,Social learning of emotional face predictions,,,,,,,pending
aec7a0ba248d26cad_s3,aec7a0ba248d26cad,Frey (2019),2019,YES,Neurotransmitter (dopamine and serotonin) involvement in social learning,,,,,,,pending
aecdcd0c0e912c532_s1,aecdcd0c0e912c532,Cheung et al. (2021),2021,YES,Word learning under referential uncertainty,,,,,,,pending
aececc2e97bdbec2b_s1,aececc2e97bdbec2b,Topel et al. (2024),2024,YES,Learning under uncertainty in social vs. non-social contexts,,,,,,,pending
aed0e37022d326c92_s1,aed0e37022d326c92,Collins & Juvina (2021),2021,YES,Trust learning,,,,,,,pending
aed0f68157a5879e1_s1,aed0f68157a5879e1,Pan et al. (2022),2022,YES,Observational threat learning -- how observers acquire threat associations,,,,,,,pending
aed34e7341d5fced8_s1,aed34e7341d5fced8,Koban et al. (2017),2017,YES,Social self-esteem learning,,,,,,,pending
af018a421470a9ad4_s1,af018a421470a9ad4,Radenbach et al. (2015),2015,YES,Stress and model-based vs. model-free behavioral control,,,,,,,pending
af0d22b397299194d_s1,af0d22b397299194d,Navidi (2023),,NO,Prosocial learning,,,,,,,pending
af12ee4644ba6ae69_s1,af12ee4644ba6ae69,Zhang et al. (2025),2025,YES,Social predictive learning,,,,,,,pending
af1312d6aa6d6f781_s1,af1312d6aa6d6f781,Lockwood et al. (2019),2019,YES,Moral learning / harm avoidance learning,,,,,,,pending
af233726c38e0f373_s1,af233726c38e0f373,Rosenthal et al. (2019),2019,YES,Mentalizing learning / Theory-of-mind learning,,,,,,,pending
af2ad2f27c098206e_s1,af2ad2f27c098206e,Seid-Fatemi & Tobler (2015),2015,YES,Observational reward learning,,,,,,,pending
af2dc2132f93e9b22_s1,af2dc2132f93e9b22,Lengersdorff et al. (2020),2020,YES,Prosocial learning; harm avoidance learning for self vs. other,,,,,,,pending
af2e673d18005bef0_s1,af2e673d18005bef0,Hauke (2024),,NO,Learning from advice / social learning under volatility in emerging psychosis,,,,,,,pending
af3d5bb6cd8d9479a_s1,af3d5bb6cd8d9479a,Ota et al. (2026),2026,YES,Belief learning in competitive games,,,,,,,pending
af5870f714142a70a_s1,af5870f714142a70a,Safra et al. (2019),2019,YES,Observational learning,,,,,,,pending
af7418c99b2e431f9_s1,af7418c99b2e431f9,Morishita et al. (2025),2025,YES,Observational learning -- partner selection preferences based on decision noise,,,,,,,pending
af767ae2e8dab68a9_s1,af767ae2e8dab68a9,Will et al. (2017),2017,YES,Social approval learning / self-esteem updating from social evaluative feedback,,,,,,,pending
af87f2f9e5c91cf2a_s1,af87f2f9e5c91cf2a,Hein et al. (2018),2018,YES,Social analgesia / pain relief learning modulated by intergroup context,,,,,,,pending
af88ac3b84155572d_s1,af88ac3b84155572d,Yu et al. (2019),2019,YES,"Harm aversion across moral decision-making, moral judgment, and moral inference",,,,,,,pending
af8c1761628990bdb_s1,af8c1761628990bdb,Wu et al. (2025),2025,YES,Collective foraging,,,,,,,pending
af8fa2a67a71b35a3_s1,af8fa2a67a71b35a3,Kim et al. (2025),2025,YES,Prosocial learning,,,,,,,pending
afa409a62ca362e0f_s1,afa409a62ca362e0f,Mennella et al. (2022),2022,YES,Social threat avoidance learning -- instrumental CS-avoidance learning driven,,,,,,,pending
afaa94a3f1a607157_s1,afaa94a3f1a607157,Gao et al. (2020),2020,YES,Prosocial learning / reward learning under mortality salience,,,,,,,pending
afacb782a99839f93_s1,afacb782a99839f93,Schie et al. (2023),2023,YES,Social influence learning / learning from social advice modulated by,,,,,,,pending
afafb165757dcce50_s1,afafb165757dcce50,Wieland et al. (2023),2023,YES,Reversal learning under acute psychosocial stress -- how stress modulates,,,,,,,pending
afb6b3e3661811f86_s1,afb6b3e3661811f86,Chung et al. (2018),2018,YES,Observational reward learning,,,,,,,pending
afb81d7b37c8d463a_s1,afb81d7b37c8d463a,Buades-Rotger et al. (2023),2023,YES,Hostile expectation learning -- how individuals acquire hostile expectations,,,,,,,pending
afb8dab514dfd4d76_s1,afb8dab514dfd4d76,Jansen et al. (2023),2023,YES,Prosocial learning,,,,,,,pending
afce5b549fc322d8b_s1,afce5b549fc322d8b,Lockwood et al. (2018),2018,YES,Ownership learning -- how people acquire associative representations of object,,,,,,,pending
afd0df0cd14192101_s1,afd0df0cd14192101,Buehler et al. (2025),2025,YES,Social reinforcement learning,,,,,,,pending
afd5b711e4d35db97_s1,afd5b711e4d35db97,Charpentier et al. (2024),2024,YES,Observational learning,,,,,,,pending
afd606b4dc8edcad1_s1,afd606b4dc8edcad1,Barnby et al. (2022),2022,YES,Paranoia and social inference learning,,,,,,,pending
afdcf5615fc28780d_s1,afdcf5615fc28780d,Hampton et al. (2008),2008,YES,Mentalizing learning,,,,,,,pending
aff9a4147d1697d89_s1,aff9a4147d1697d89,Maier (n.d.),,NO,Moral learning / metacognitive moral learning -- how learning from the,,,,,,,pending
affc7fc8a336dfed4_s1,affc7fc8a336dfed4,Reiter et al. (2023),2023,YES,Trust learning / trust development across adolescence,,,,,,,pending
affdf48c264a99879_s1,affdf48c264a99879,Bass (2021),2021,YES,Informant evaluation,,,,,,,pending
affdf48c264a99879_s2,affdf48c264a99879,Bass (2021),2021,YES,Pedagogical learning,,,,,,,pending
affdf48c264a99879_s3,affdf48c264a99879,Bass (2021),2021,YES,Pedagogical learning,,,,,,,pending
