study_id,paper_id,citation_short,year,on_website,eligibility_flagged,eligibility_flag_reason,human_decision,human_rationale,reviewer,date_checked,status
a8d99523e77ad1011_s1,a8d99523e77ad1011,Gweon et al. (2010),2010,YES,YES,"FLAG — This paper tests inductive generalization/inference from a single demonstration episode, not learning over time. The infants observe a single sampling event and make a one-shot inference about property extension. There is no trial-by-trial learning or updating over time. This is closer to one-shot Bayesian inference than iterative social learning. Additionally, participants are infants (not the typical adult sample), though human behavioral data are used. The computational model is Bayesian but has no free parameters fitted to data — predictions are derived analytically.
  - Confidence: HIGH",,,,,pending
a8d9fd46a0700f631_s1,a8d9fd46a0700f631,Siegel (2019),,NO,YES,Dissertation with published papers. Chapters 3-4 published as Siegel et al. (2018) *Nature Human Behaviour*; Chapter 5 published as Siegel et al. (2019) *Nature Communications*. Flag `duplicate_suspected` if those papers are in the corpus. Chapter 6 (BPD) may be unique.,,,,,pending
a8e4cc32c4fb15890_s1,a8e4cc32c4fb15890,Haruno & Kawato (2009),2009,YES,NO,,,,,,pending
a8ee4d53d01f352c4_s1,a8ee4d53d01f352c4,Hula et al. (2018),2018,YES,NO,,,,,,pending
a8f29ea7bd21570f4_s1,a8f29ea7bd21570f4,Mistry & Liljeholm (2019),2019,YES,YES,"Experiment 1 does not involve learning over time — participants' knowledge of reward probabilities was trained to criterion before the gambling phase and no updating occurred during the gambling phase. The conformity parameter w is a static preference, not a learned value. FLAG: borderline learning-vs-decision-making; may be better characterized as value-based decision-making with social influence rather than social learning over time.",,,,,pending
a8f29ea7bd21570f4_s2,a8f29ea7bd21570f4,Mistry & Liljeholm (2019),2019,YES,NO,,,,,,pending
a8f3eec4be8a10e95_s1,a8f3eec4be8a10e95,Wu et al. (2024),2024,YES,NO,,,,,,pending
a8f41c34a8a0f226f_s1,a8f41c34a8a0f226f,Lengersdorff et al. (2020),2020,YES,NO,,,,,,pending
a8f7679fe2ca5768f_s1,a8f7679fe2ca5768f,Saulin (2022),,NO,NO,,,,,,pending
a8f7679fe2ca5768f_s2,a8f7679fe2ca5768f,Saulin (2022),,NO,NO,,,,,,pending
a8f7679fe2ca5768f_s3,a8f7679fe2ca5768f,Saulin (2022),,NO,NO,,,,,,pending
a8f7679fe2ca5768f_s4,a8f7679fe2ca5768f,Iotzov (2022),,NO,NO,,,,,,pending
a8f9db013045d1900_s1,a8f9db013045d1900,Tarantola et al. (2017),2017,YES,NO,,,,,,pending
a9159d74bfbe6e921_s1,a9159d74bfbe6e921,Henco et al. (2020),2020,YES,NO,,,,,,pending
a91b86671d398f473_s1,a91b86671d398f473,Traast et al. (2024),2024,YES,NO,,,,,,pending
a91b86671d398f473_s2,a91b86671d398f473,Traast et al. (2024),2024,YES,NO,,,,,,pending
a9314fd573def5ba4_s1,a9314fd573def5ba4,Bellucci & Park (2020),2020,YES,YES,"Experiments 1 and 2 do not use computational modeling and would not independently qualify. Experiment 3 meets all inclusion criteria. The ""social agent"" is an automated/computer-programmed adviser -- flagged. Overall paper is eligible based on Experiment 3.",,,,,pending
a935c9d6fc7644f65_s1,a935c9d6fc7644f65,Pisauro et al. (2022),2022,YES,NO,,,,,,pending
a937c70ec9653c074_s1,a937c70ec9653c074,Huang et al. (2026),2026,YES,NO,,,,,,pending
a941675f73ddb4a9d_s1,a941675f73ddb4a9d,Cooper et al. (2012),2012,YES,NO,,,,,,pending
a9463d098431ad6f7_s1,a9463d098431ad6f7,Hopkins (2021),,NO,YES,"Potential duplicate -- Chapter 4 was published as Hopkins et al. (2021) in Computational Psychiatry (doi: 10.5334/cpsy.57). Check if this published paper is already in the corpus; if so, flag this thesis chapter as duplicate_suspected. Also: thesis format (flag which chapters qualify -- only Ch4 and social component of Ch5).
  - Confidence: HIGH",,,,,pending
a9463d098431ad6f7_s2,a9463d098431ad6f7,Hopkins (2021),,NO,YES,"Does not meet social context criterion. This is an fMRI study of sensory uncertainty processing (visual spatial uncertainty in threat/shock avoidance task). No social agent, no social context. Uses hierarchical Bayesian model and associative learning models, N=39, with fMRI.",,,,,pending
a950c7c6f86c80e02_s1,a950c7c6f86c80e02,Konovalov et al. (2021),2021,YES,NO,,,,,,pending
a95540e306d318922_s1,a95540e306d318922,Koban et al. (2023),2023,YES,NO,,,,,,pending
a95587b4f9d0dd433_s1,a95587b4f9d0dd433,Wadhera & Kakkar (2021),2021,YES,YES,Borderline — the computational model is a mathematical simulation framework with RMSE-based fitting rather than a standard computational cognitive model with formal parameter estimation. Social learning is present and learning occurs over time (120 trials). Recommend inclusion with flag.,,,,,pending
a9586876f56b22b88_s1,a9586876f56b22b88,Schröder et al. (2025),2025,YES,NO,,,,,,pending
a95eb220fdbe63dcd_s1,a95eb220fdbe63dcd,Bang et al. (2017),2017,YES,YES,"FLAGGED — Borderline on ""learning over time"" criterion. The confidence matching effect is demonstrated at the aggregate level (mean confidence converges across blocks) and at short time scales (trial-by-trial serial dependence extending 3 trials back). However, the TD learning model is used for qualitative simulation rather than formal fitting, and the primary analyses are about aggregate convergence rather than trial-by-trial learning dynamics. The computational modeling is relatively light (SDT for benchmarking + qualitative TD model). This is borderline between social influence/adaptation and genuine computational modeling of learning.",,,,,pending
a95ecd2364102e984_s1,a95ecd2364102e984,Nong et al. (2024),2024,YES,NO,,,,,,pending
a95f701fd9e24ed4f_s1,a95f701fd9e24ed4f,Hackel & Zaki (2018),2018,YES,NO,,,,,,pending
a95f701fd9e24ed4f_s2,a95f701fd9e24ed4f,Hackel & Zaki (2018),2018,YES,NO,,,,,,pending
a96ed8bf28c49c43c_s1,a96ed8bf28c49c43c,Wu et al. (2024),2024,YES,NO,,,,,,pending
a972fcd80ff0bfd61_s1,a972fcd80ff0bfd61,Wang et al. (2023),2023,YES,NO,,,,,,pending
a9762e050e082aeee_s1,a9762e050e082aeee,Rossi-Goldthorpe et al. (2021),2021,YES,NO,,,,,,pending
a9848c84183aa4aea_s1,a9848c84183aa4aea,Chen & Krajbich (2017),2017,YES,YES,HIGH confidence — the paper is borderline for social learning inclusion; the social context is incidental to the learning mechanism,,,,,pending
a9954ad15eee76513_s1,a9954ad15eee76513,Khalvati (2021),2021,YES,YES,Dissertation; Chapters 3-4 non-social/non-human — only Chapters 5-6 qualify. Study 1 uses computer opponents (participants deceived). Study 2b is duplicate of Study 1 data. MEDIUM confidence.,,,,,pending
a9954ad15eee76513_s2,a9954ad15eee76513,Khalvati (2021),2021,YES,YES,Dissertation; Chapters 3-4 non-social/non-human — only Chapters 5-6 qualify. Study 1 uses computer opponents (participants deceived). Study 2b is duplicate of Study 1 data. MEDIUM confidence.,,,,,pending
a9954ad15eee76513_s3,a9954ad15eee76513,Khalvati (2021),2021,YES,YES,Dissertation; Chapters 3-4 non-social/non-human — only Chapters 5-6 qualify. Study 1 uses computer opponents (participants deceived). Study 2b is duplicate of Study 1 data. MEDIUM confidence.,,,,,pending
a9954ad15eee76513_s4,a9954ad15eee76513,Khalvati (2021),2021,YES,YES,Dissertation; Chapters 3-4 non-social/non-human — only Chapters 5-6 qualify. Study 1 uses computer opponents (participants deceived). Study 2b is duplicate of Study 1 data. MEDIUM confidence.,,,,,pending
a9954ad15eee76513_s5,a9954ad15eee76513,Khalvati (2021),2021,YES,YES,Dissertation; Chapters 3-4 non-social/non-human — only Chapters 5-6 qualify. Study 1 uses computer opponents (participants deceived). Study 2b is duplicate of Study 1 data. MEDIUM confidence.,,,,,pending
a99e972647ad3bec8_s1,a99e972647ad3bec8,Connell et al. (2022),2022,YES,NO,,,,,,pending
a9a3417e0682c84d6_s1,a9a3417e0682c84d6,Hackel et al. (2020),2020,YES,NO,,,,,,pending
a9b473d280d0123c3_s1,a9b473d280d0123c3,Ham & Jenkins (2025),2025,YES,NO,,,,,,pending
a9b473d280d0123c3_s2,a9b473d280d0123c3,Ham & Jenkins (2025),2025,YES,NO,,,,,,pending
a9b473d280d0123c3_s3,a9b473d280d0123c3,Ham & Jenkins (2025),2025,YES,NO,,,,,,pending
a9b9f1c6d36ab97ce_s1,a9b9f1c6d36ab97ce,Hackel et al. (2019),2019,YES,NO,,,,,,pending
a9c7e220f549232d0_s1,a9c7e220f549232d0,Najar et al. (2020),2020,YES,NO,,,,,,pending
a9cae99108b54e23f_s1,a9cae99108b54e23f,Safra et al. (2018),2018,YES,NO,,,,,,pending
a9df2b53b9da59315_s1,a9df2b53b9da59315,Li et al. (2021),2021,YES,NO,,,,,,pending
a9f10240140953810_s1,a9f10240140953810,Safra et al. (2018),2018,YES,NO,,,,,,pending
aa09d738ea4dd18f0_s1,aa09d738ea4dd18f0,Fornari et al. (2023),2023,YES,NO,,,,,,pending
aa1cfaa7c0b32b5c0_s1,aa1cfaa7c0b32b5c0,Guo et al. (2024),2024,YES,NO,,,,,,pending
aa1cfaa7c0b32b5c0_s2,aa1cfaa7c0b32b5c0,Guo et al. (2024),2024,YES,NO,,,,,,pending
aa1e8872d83056b92_s1,aa1e8872d83056b92,Lockwood et al. (2016),2016,YES,NO,,,,,,pending
aa28098964fa29f4a_s1,aa28098964fa29f4a,Rybicki (2022),,NO,NO,,,,,,pending
aa28098964fa29f4a_s2,aa28098964fa29f4a,Rybicki (2022),,NO,YES,"duplicate_suspected -- This chapter is published as Rybicki, A. J., Sowden, S. L., Schuster, B. A., & Cook, J. L. (2022). Dopaminergic challenge dissociates learning from primary versus secondary sources of information. eLife, 11, e74893. This published version exists separately in the corpus at `papers/Dopaminergic challenge dissociates learning from primary versus secondary sources of information.txt`. Extract from the published version to avoid double-counting.""

---

## ADDITIONAL FIELDS

### Flagged fields (across both studies):",,,,,pending
aa2845674ac4d1137_s1,aa2845674ac4d1137,Zhang (2020),,NO,NO,,,,,,pending
aa29ab1115d964d7c_s1,aa29ab1115d964d7c,Yoon et al. (2018),2018,YES,NO,,,,,,pending
aa2d45c0840bbbf7d_s1,aa2d45c0840bbbf7d,Liao et al. (2021),2021,YES,NO,,,,,,pending
aa56074d11a12abcd_s1,aa56074d11a12abcd,Gaule et al. (2024),2024,YES,YES,"FLAG — Computational modeling was attempted but failed (learning rates too low to interpret for any group). The paper ultimately relies on GLMM analysis of choice behavior and win-stay/lose-shift heuristics rather than successful computational model fitting. This is borderline for the inclusion criterion ""uses computational modeling"" since models were attempted but could not be fit. The learning component (adjusting to cooperative/uncooperative environments over repeated trials) is present.
- Confidence: HIGH",,,,,pending
aa57d04b1f68bf618_s1,aa57d04b1f68bf618,Teo et al. (2022),2022,YES,YES,"Borderline -- causal inference task, not clear temporal learning over multiple trials (participants observe a single scenario and make one-shot inferences; Study 1b measures at 5 timepoints within a single video but this is within-trial dynamic updating, not trial-by-trial learning). Flag: possible one-shot inference rather than learning over time.",,,,,pending
aa6091f9cc6c693f0_s1,aa6091f9cc6c693f0,Lin et al. (2012),2012,YES,YES,"Borderline — the task involves learning stimulus–reward associations where rewards happen to be social (faces) vs. non-social (money). There is no social interaction, social inference, or learning about another agent. The ""social"" element is purely the reward modality. Flag as: social reward learning but no social agent or social context beyond stimulus type.",,,,,pending
aa65ca8c435e94942_s1,aa65ca8c435e94942,Ereira et al. (2018),2018,YES,NO,,,,,,pending
aa71946e6c9f86d56_s1,aa71946e6c9f86d56,Efferson et al. (2008),2008,YES,NO,,,,,,pending
aa792de35f80feb74_s1,aa792de35f80feb74,Burke et al. (2016),2016,YES,NO,,,,,,pending
aa7a0276ada8cc7db_s1,aa7a0276ada8cc7db,Cui (2021),,NO,NO,,,,,,pending
aa7a0276ada8cc7db_s2,aa7a0276ada8cc7db,Cui (2021),,NO,NO,,,,,,pending
aa7a0276ada8cc7db_s3,aa7a0276ada8cc7db,Cui (2021),,NO,NO,,,,,,pending
aa7d5ff60fbdb2268_s1,aa7d5ff60fbdb2268,Bos et al. (2013),2013,YES,NO,,,,,,pending
aa81b9b0bc29c1c9b_s1,aa81b9b0bc29c1c9b,Castanon et al. (2023),2023,YES,YES,"No human behavioral data -- simulation study only

### CANNOT FIND
- Formal effect sizes (not applicable to simulation study)
- Formal model comparison statistics (BIC, AIC, etc.)
- Parameter recovery / model recovery results
- Preregistration status

### OTHER NOTES
- This is a computational/theoretical paper that proposes an agent-based model using Bush-Mosteller RL to explain altruistic behavior in the Dictator Game through social expectations (empirical + normative). It validates by comparing simulation outputs to published meta-analytic experimental benchmarks rather than collecting new human data.
- The key theoretical contribution is that coupling empirical and normative susceptibility into a single parameter (""socially consistent"" agents) and weighting negative interactions ~3x more than positive interactions best reproduces experimental DG donation profiles.
- The supplement (Annex) presents results for the more general case where empirical and normative susceptibilities can differ, showing this leads to loss of heterogeneity in donation profiles inconsistent with experimental evidence.
- DOI: 10.1038/s41598-023-28659-0
- Published in Scientific Reports (2023)

### RE-EXTRACT FLAG: false",,,,,pending
aa8995e72ac240a9d_s1,aa8995e72ac240a9d,Colombo (2012),2012,YES,YES,"Flag: thesis — only Chapter 7 (the tipping game experiment, joint work with Stankevicius and Series) qualifies as empirical study with computational modeling and human behavioral data. Chapters 1-6 are theoretical/philosophical. Also flag: the ""social agent"" providing feedback is an automated system (computer-generated faces), not a real social partner.",,,,,pending
aa975564adbb29669_s1,aa975564adbb29669,Siegel et al. (2018),2018,YES,NO,,,,,,pending
aa9af9e1a3bf50f6f_s1,aa9af9e1a3bf50f6f,Müller-Pinzler et al. (2022),2022,YES,NO,,,,,,pending
aa9ddd5acc0c507a5_s1,aa9ddd5acc0c507a5,Carrignon et al. (2020),2020,YES,YES,"FLAGGED — Does not meet inclusion criteria. This study uses computational modeling and learning occurs over time, but it does NOT use human behavioral data (it uses archaeological ceramic distribution data and agent-based simulations). The ""agents"" are simulated settlement-level entities, not human participants. The learning context is social (cultural transmission of economic strategies), but there are no human participants generating behavioral data. Flag: ""No human behavioral data; archaeological/simulation study only.",,,,,pending
aaa5af466851f84e7_s1,aaa5af466851f84e7,Wittmann et al. (2016),2016,YES,NO,,,,,,pending
aaab6d101a666b350_s1,aaab6d101a666b350,Zhang (2020),,NO,YES,`duplicate_suspected` -- This is the bioRxiv preprint (2019) of the published Science Advances paper (2020) already extracted as cov_350 in batch 11. The published version is the more authoritative source and should be retained; this preprint should be marked ineligible.,,,,,pending
aacdf803808aa7093_s1,aacdf803808aa7093,Vidal-Perez et al. (2025),2025,YES,YES,"The ""social agent"" is an automated/computerized system (not a real human partner). The social context is minimal — participants learn about non-social outcomes (bandit reward probabilities) from computerized feedback agents. Flag: borderline social context; social source but non-social learning target.",,,,,pending
aad116851b47281bd_s1,aad116851b47281bd,Lockwood et al. (2020),2020,YES,NO,,,,,,pending
aad2e89eeb949f588_s1,aad2e89eeb949f588,Gadeke et al. (2020),2020,YES,NO,,,,,,pending
aad2e89eeb949f588_s2,aad2e89eeb949f588,Gadeke et al. (2020),2020,YES,YES,"Borderline. The models do not represent traditional ""learning over time"" -- there is no learning rate or belief updating. The model is a weighted regression of momentary happiness on recent reward history with exponential decay. This is closer to a descriptive affective model than a learning model. Flag as: ""borderline learning-vs-decision-making; model captures temporal dynamics of happiness via exponential decay but no explicit learning rate or belief updating mechanism.",,,,,pending
aaf1f44b770d3f388_s1,aaf1f44b770d3f388,Lau (2019),,NO,YES,"Does not meet inclusion criteria: no computational modeling; no learning over time (one-shot categorization task). This is a repetition suppression fMRI study of social categorization, not a computational modeling study of social learning.",,,,,pending
aaf1f44b770d3f388_s2,aaf1f44b770d3f388,Lau (2019),,NO,YES,"duplicate_suspected -- Published version exists in folder: ""Discovering social groups via latent structure learning. .txt"" (Lau, Pouncy, Gershman, & Cikara, 2020, J Exp Psychol Gen). Extract from published version instead.",,,,,pending
aaf1f44b770d3f388_s3,aaf1f44b770d3f388,Lau (2019),,NO,YES,"duplicate_suspected -- Published version exists in folder: ""Social structure learning in human anterior insula. .txt"" (Lau, Gershman, & Cikara, 2020, eLife). Extract from published version instead.",,,,,pending
aaf5da550579ef6f7_s1,aaf5da550579ef6f7,Selbing et al. (2014),2014,YES,NO,,,,,,pending
aaf6f20a11cf3f1a3_s1,aaf6f20a11cf3f1a3,Müller-Pinzler et al. (2022),2022,YES,NO,,,,,,pending
ab0cb8b2ffd8b28e9_s1,ab0cb8b2ffd8b28e9,Saulin et al. (2024),2024,YES,NO,,,,,,pending
ab0cb8b2ffd8b28e9_s2,ab0cb8b2ffd8b28e9,Saulin et al. (2024),2024,YES,NO,,,,,,pending
ab1248f299f347c28_s1,ab1248f299f347c28,Ereira et al. (2020),2020,YES,NO,,,,,,pending
ab13df8717184ccee_s1,ab13df8717184ccee,Gelpi (2025),,NO,NO,,,,,,pending
ab13df8717184ccee_s2,ab13df8717184ccee,Gelpi (2025),,NO,YES,"MEDIUM confidence -- the ""social agent"" is automated (pre-recorded MARL trajectories), which CLAUDE.md says to flag

### CANNOT FIND
- Formal computational model fitted to human behavioral data (none exists; human data analyzed with LMER/GLMER only)
- Model comparison metrics for human data (no formal model comparison)
- Individual-level model fits for human participants

### OTHER NOTES
- This experiment (Chapter 5, Experiment 4) was published as part of: Gelpi, R. A., Tang, Y., Jackson, E. C., & Cunningham, W. A. (2025). Social coordination perpetuates stereotypic expectations and behaviours across generations in deep multi-agent reinforcement learning. PNAS Nexus, 4(3), pgaf076. https://doi.org/10.1093/pnasnexus/pgaf076. If this published paper is also in the papers folder, flag as duplicate_suspected.
- The MARL simulations (Ch5 Exps 1-3) provide the theoretical framework but do not involve human data.
- The ""social agent"" in this task is an automated system (pre-recorded MARL market decider or agent trajectories), which should be flagged per CLAUDE.md.
- No supplement file found for this thesis.",,,,,pending
ab2879a22cc94c9db_s1,ab2879a22cc94c9db,Whalen et al. (2018),2018,YES,YES,"Borderline — the task is a one-shot judgment (no learning over time/trials). Participants make a single rating per condition. There is no trial-by-trial learning or updating. The Bayesian model describes optimal inference given evidence, not a learning process that unfolds over time. This may not meet the ""learning happens over time"" inclusion criterion. FLAG: potential eligibility concern — one-shot inference, not iterative learning.",,,,,pending
ab33ea9da5f1f13b6_s1,ab33ea9da5f1f13b6,Vanyukov et al. (2019),2019,YES,NO,,,,,,pending
ab3bd6a979910aae4_s1,ab3bd6a979910aae4,Contreras-Huerta (2021),2021,YES,YES,"FLAGGED -- thesis; no learning over time in any study; pure cost-benefit decision-making with stable utility parameters. Models are utility/value functions, not learning models. Does not meet inclusion criterion: ""learning occurs in a social context"" or ""learning happens over time."" Flag as `type: thesis; eligibility: no_temporal_learning; decision_making_not_learning`.",,,,,pending
ab445c71d4d07759b_s1,ab445c71d4d07759b,Dun et al. (2024),2024,YES,NO,,,,,,pending
ab55cdf703297acb8_s1,ab55cdf703297acb8,Cui (2021),,NO,NO,,,,,,pending
ab55cdf703297acb8_s2,ab55cdf703297acb8,Cui (2021),,NO,NO,,,,,,pending
ab55cdf703297acb8_s3,ab55cdf703297acb8,Cui (2021),,NO,NO,,,,,,pending
ab722870328c9d745_s1,ab722870328c9d745,Behrens et al. (2008),2008,YES,NO,,,,,,pending
ab75b85a308524e49_s1,ab75b85a308524e49,Najar et al. (2019),2019,YES,NO,,,,,,pending
ab7787bb0688efa95_s1,ab7787bb0688efa95,Maier et al.,,YES,YES,"Borderline eligibility. The paper uses computational modeling and human behavioral data, and learning occurs over time (13 trials). However, the learning context is arguably not ""social"" in the sense required by the review: participants learn from their own moral decision outcomes, not from social agents, social feedback, or social observation. The moral dilemmas involve other people, but the learning mechanism itself is non-social (individual RL over one's own outcomes). Flag: ""Learning mechanism is non-social (individual metacognitive RL from own outcomes); moral dilemmas involve others but no social learning source (no observation, imitation, or social feedback).",,,,,pending
ab89196503af91f3e_s1,ab89196503af91f3e,Westhoff et al. (2020),2020,YES,NO,,,,,,pending
ab89a28f11fb22ed2_s1,ab89a28f11fb22ed2,Wu et al. (2023),2023,YES,YES,"Borderline — the PGG is a one-shot game per round (no trial-to-trial learning/updating). The computational model is a static utility model fit across rounds, not a dynamic learning model that updates parameters over time. There is no prediction error or belief updating across trials. The ""learning"" here is better characterized as static decision-making under different incentive contexts. FLAG: borderline learning-vs-decision-making; no temporal updating or trial-by-trial learning.",,,,,pending
ab9129a02398500c2_s1,ab9129a02398500c2,Camerer & Ho (1999),1999,YES,YES,"MEDIUM confidence -- borderline social learning. The games involve human strategic interaction, but the models do not explicitly model social cognition, mentalizing, or social learning about other agents. The learning target is strategy optimality, not social information.",,,,,pending
ab9bdfac589e098a5_s1,ab9bdfac589e098a5,Story et al. (2024),2024,YES,NO,,,,,,pending
ab9cc4e653811594c_s1,ab9cc4e653811594c,Ma et al. (2020),2020,YES,NO,,,,,,pending
aba1374805b0f9772_s1,aba1374805b0f9772,Hunter et al. (2022),2022,YES,NO,,,,,,pending
abb19da2267bf8662_s1,abb19da2267bf8662,DeJoseph (2023),2023,YES,YES,"FLAG — borderline social context. The task uses socioemotionally salient images (depicting social scenes) as stimuli but involves no social interaction, no social agent, and no social learning per se. The ""social"" element is limited to the emotional/social content of the visual stimuli being learned about. Learning is from reward/punishment feedback about stimulus-outcome associations, not from or about a social agent. This is reinforcement learning modulated by socioemotional stimulus content, not social learning in the conventional sense. Additionally, this is a dissertation — only one study, so no double-counting concern.

---

### 14. Concerns",,,,,pending
abbaa5732e78c069d_s1,abbaa5732e78c069d,Bray & Doherty (2007),2007,YES,YES,"Borderline — the ""social"" element is limited to attractive faces serving as reward stimuli. There is no social interaction, no social agent producing outcomes, and no learning about another person's mental states or behavior. The faces function as visual reinforcers (like juice or money) rather than as social agents. The learning is classical conditioning of cue-reward associations, not social learning per se. FLAG: borderline social context; faces as reward stimuli rather than social agents.",,,,,pending
abc1e750e82809237_s1,abc1e750e82809237,Allen et al. (2023),2023,YES,NO,,,,,,pending
abfd52709b54c4481_s1,abfd52709b54c4481,Frolichs et al. (2022),2022,YES,NO,,,,,,pending
abfd52709b54c4481_s2,abfd52709b54c4481,Frolichs et al. (2022),2022,YES,YES,"Borderline -- uses RSA (representational similarity analysis) not computational models of learning. The RSA models test whether knowledge structures are represented in neural activity but do not model learning dynamics. Study 2 sub-study 2 has no feedback phase (no trial-by-trial learning). Sub-study 1 is a reanalysis of Korn et al. (2012). Flagged as borderline for ""uses computational modeling"" and ""learning happens over time"" criteria.",,,,,pending
abfd52709b54c4481_s3,abfd52709b54c4481,Frolichs et al. (2022),2022,YES,YES,MEDIUM -- borderline cases requiring judgment call,,,,,pending
ac02bfcaa3344eedb_s1,ac02bfcaa3344eedb,Steixner-Kumar et al. (2022),2022,YES,YES,"Borderline — models are used as normative benchmarks (simulate-and-compare) rather than fitted to participant data. No computational model is fitted to individual behavior. Learning occurs across sessions (Fig 14) but the primary analysis is about departure from optimal solutions, not learning dynamics per se. The paper involves social interaction and repeated learning, but the computational models are not learning models fitted to data — they are optimal planning solutions used for comparison.",,,,,pending
ac08dd66a77134815_s1,ac08dd66a77134815,Liu (2024),2024,YES,NO,,,,,,pending
ac08dd66a77134815_s2,ac08dd66a77134815,Liu (2024),2024,YES,NO,,,,,,pending
ac0d19c94aa17f8df_s1,ac0d19c94aa17f8df,Radell et al. (2016),2016,YES,NO,,,,,,pending
ac0dfea8131964cfb_s1,ac0dfea8131964cfb,Kutlikova et al. (2023),2023,YES,YES,"The learning in this task is reward learning about stimulus-reward contingencies (non-social learning target). The social component is the audience manipulation and prosocial framing (self vs. NGO recipient), but participants are not learning about a social agent. FLAG: borderline — learning is temporal and computational, but target of learning is non-social (world/stimulus-reward associations). The social context modulates learning but the learning itself may not qualify as ""learning in a social context"" in the strict sense of learning about social entities. **Confidence: MEDIUM**",,,,,pending
ac0f34be605950410_s1,ac0f34be605950410,Yifrah (2024),2024,YES,NO,,,,,,pending
ac0f34be605950410_s2,ac0f34be605950410,Yifrah (2024),2024,YES,NO,,,,,,pending
ac114abb9dde87831_s1,ac114abb9dde87831,Leong & Zaki (2017),2017,YES,NO,,,,,,pending
ac114abb9dde87831_s2,ac114abb9dde87831,Leong & Zaki (2017),2017,YES,NO,,,,,,pending
ac114abb9dde87831_s3,ac114abb9dde87831,Leong & Zaki (2017),2017,YES,NO,,,,,,pending
ac2232886939a29e2_s1,ac2232886939a29e2,Hackel et al. (2020),2020,YES,NO,,,,,,pending
ac358235abc2dab17_s1,ac358235abc2dab17,Frey & McCabe (2020),2020,YES,NO,,,,,,pending
ac3893746e8a09725_s1,ac3893746e8a09725,Patil et al. (2020),2020,YES,YES,"FLAGGED -- This paper does NOT meet inclusion criteria for the following reasons:
1. **No computational modeling of learning**: The paper uses reinforcement learning two-step tasks (Daw et al., 2011; Kool et al., 2016) only as a behavioral measure of individual differences in model-based vs. model-free control (the weighting parameter *w*). The RL model is not used to model social learning -- it is used as a cognitive style index correlated with moral judgment. The paper's primary analyses are correlational (mixed-effects regression, random-effects meta-analysis, cortical thickness GLM), not computational modeling of a learning process.
2. **No learning over time in a social context**: Participants make moral judgments on hypothetical vignettes (sacrificial dilemmas). There is no trial-by-trial learning, no feedback-driven updating, and no social learning process. The two-step RL tasks are used in a non-social (space travel) or pseudo-social (hypothetical shocks) context as a measure of cognitive style, not as the phenomenon under study.
3. **The study focus is moral judgment/decision-making, not learning**: The paper investigates whether individual differences in reasoning predict utilitarian moral judgments. This is a one-shot judgment paradigm, not a learning paradigm.

---

### COMPUTATIONAL LEVEL",,,,,pending
ac41b67b58fda0894_s1,ac41b67b58fda0894,Connell et al. (2022),2022,YES,NO,,,,,,pending
ac42c30ad279615ee_s1,ac42c30ad279615ee,Lindstrom et al. (2021),2021,YES,NO,,,,,,pending
ac43c16de65d32bf5_s1,ac43c16de65d32bf5,Davis (2025),2025,YES,NO,,,,,,pending
ac43c16de65d32bf5_s2,ac43c16de65d32bf5,Davis (2025),2025,YES,NO,,,,,,pending
ac46ee22ccf716c5f_s1,ac46ee22ccf716c5f,Collette et al. (2017),2017,YES,NO,,,,,,pending
ac490d4a134a2a23a_s1,ac490d4a134a2a23a,Arbel et al. (2024),2024,YES,NO,,,,,,pending
ac53f156a8e951830_s1,ac53f156a8e951830,Zhou et al. (2024),2024,YES,NO,,,,,,pending
ac6e0c476e6fbdeea_s1,ac6e0c476e6fbdeea,Navidi et al. (2023),2023,YES,NO,,,,,,pending
ac6e6ff32b9164bef_s1,ac6e6ff32b9164bef,Oguchi et al. (2023),2023,YES,YES,LOW confidence that this meets inclusion criteria — the task is non-social; SVO is a separate individual-difference measure only.,,,,,pending
ac6f972a000227fcc_s1,ac6f972a000227fcc,Panizza (2020),2020,YES,YES,"Flagged -- does not meet inclusion criteria for computational modeling of learning. Uses **mixed-effects logistic regression** (not a computational model of learning). There is **no learning over time** -- this is a memory study examining whether fairness-violating choices are forgotten. No prediction error, no belief updating, no learning dynamics. Flag: ""No computational modeling of learning; no temporal learning; memory bias study.",,,,,pending
ac6f972a000227fcc_s2,ac6f972a000227fcc,Panizza (2020),2020,YES,YES,"Flagged -- borderline. Uses norm-dependent utility estimation (logistic regression), but there is **no learning over time**. Participants make choices in a series of static mini-dictator games. The computational modeling is a utility function estimation, not a learning model. No temporal updating or prediction error mechanism. This is primarily a **decision-making / social preferences** study, not a social learning study. Flag: ""No temporal learning; utility estimation only; borderline learning vs. decision-making.",,,,,pending
ac6f972a000227fcc_s3,ac6f972a000227fcc,Panizza (2020),2020,YES,YES,"Flagged -- does not meet inclusion criteria for computational modeling of learning. Uses **mixed-effects logistic regression** (not a computational model of learning). There is **no learning over time** -- this is a memory study examining whether fairness-violating choices are forgotten. No prediction error, no belief updating, no learning dynamics. Flag: ""No computational modeling of learning; no temporal learning; memory bias study.",,,,,pending
ac739eb9ee61d9c5a_s1,ac739eb9ee61d9c5a,Cavanagh et al. (2011),2011,YES,YES,"FLAG — The learning task itself is non-social (probabilistic reinforcement learning with abstract stimuli and computer-generated feedback). The social component is limited to the stress manipulation context (social evaluative threat). This is borderline for ""learning in a social context"" — the social element modulates learning but the learning itself is not about social content and does not involve social agents as information sources.",,,,,pending
